source,target,count
FR102,RO321,1
FR301,RO321,1
FR421,BG411,11
FR421,CZ010,1
FR421,HR041,1
FR421,LV006,1
FR421,PL127,1
FR421,RO321,8
FR421,SK010,1
IS001,BG323,1
IS001,BG331,1
IS001,BG341,1
IS001,BG411,9
IS001,CY000,1
IS001,CZ010,15
IS001,CZ031,1
IS001,CZ032,1
IS001,CZ042,1
IS001,CZ051,3
IS001,CZ052,2
IS001,CZ053,1
IS001,CZ064,7
IS001,CZ071,1
IS001,CZ080,4
IS001,EE001,5
IS001,EE004,1
IS001,EE006,2
IS001,ES111,1
IS001,ES114,1
IS001,ES300,11
IS001,ES418,1
IS001,ES511,3
IS001,ES512,1
IS001,ES617,1
IS001,ES620,1
IS001,GR143,1
IS001,GR300,2
IS001,HR041,1
IS001,HU101,10
IS001,HU102,2
IS001,HU223,1
IS001,HU311,1
IS001,HU312,1
IS001,HU322,2
IS001,HU333,1
IS001,LT002,4
IS001,LT003,1
IS001,LT00A,9
IS001,LV003,1
IS001,LV005,1
IS001,LV006,9
IS001,PL113,7
IS001,PL127,22
IS001,PL213,17
IS001,PL217,1
IS001,PL225,3
IS001,PL227,1
IS001,PL229,4
IS001,PL22A,1
IS001,PL314,11
IS001,PL325,2
IS001,PL415,5
IS001,PL422,1
IS001,PL514,9
IS001,PL518,5
IS001,PL633,6
IS001,PT114,3
IS001,PT171,1
IS001,PT200,3
IS001,RO111,4
IS001,RO113,2
IS001,RO122,1
IS001,RO126,5
IS001,RO213,2
IS001,RO223,1
IS001,RO224,2
IS001,RO226,2
IS001,RO321,19
IS001,RO322,2
IS001,RO424,2
IS001,SI012,1
IS001,SI014,3
IS001,SI017,1
IS001,SI021,3
IS001,SI022,1
IS001,SI023,1
IS001,SI024,2
IS001,SK010,6
IS001,SK023,1
IS001,SK031,1
IS002,BG411,1
IS002,CZ010,4
IS002,CZ031,2
IS002,CZ064,1
IS002,EE001,1
IS002,EE008,1
IS002,ES111,3
IS002,ES300,1
IS002,ES422,1
IS002,ES511,1
IS002,HU313,1
IS002,HU333,2
IS002,LT002,1
IS002,LT003,1
IS002,LT009,1
IS002,LT00A,1
IS002,LV005,1
IS002,LV006,1
IS002,PL127,4
IS002,PL213,8
IS002,PL225,1
IS002,PL314,1
IS002,PL325,3
IS002,PL415,1
IS002,PL633,1
IS002,PT171,2
IS002,RO113,1
IS002,RO114,1
IS002,RO213,1
IS002,RO215,1
IS002,RO224,1
IS002,RO311,1
IS002,RO321,1
IS002,RO411,4
IS002,SI011,1
IS002,SI012,1
IS002,SI014,1
IS002,SI017,2
IS002,SI021,1
IS002,SI022,1
IS002,SK010,1
IS002,SK021,1
IS002,SK031,1
IS002,SK041,1
LI000,BG321,1
LI000,BG322,1
LI000,BG411,5
LI000,CZ010,4
LI000,CZ042,1
LI000,CZ052,1
LI000,ES111,1
LI000,ES300,1
LI000,HU101,1
LI000,LV006,2
LI000,PL213,2
LI000,PL22A,1
LI000,PL314,3
LI000,PL514,1
LI000,PL518,2
LI000,RO126,3
LI000,RO224,2
LI000,RO321,2
LI000,SI024,2
LI000,SK010,1
NO011,BG313,1
NO011,BG314,2
NO011,BG321,1
NO011,BG322,2
NO011,BG331,2
NO011,BG332,2
NO011,BG333,3
NO011,BG341,3
NO011,BG344,3
NO011,BG411,44
NO011,BG412,1
NO011,BG413,2
NO011,BG421,3
NO011,BG422,2
NO011,BG424,3
NO011,BG425,1
NO011,CY000,3
NO011,CZ010,88
NO011,CZ020,5
NO011,CZ031,4
NO011,CZ032,4
NO011,CZ042,5
NO011,CZ051,1
NO011,CZ052,7
NO011,CZ053,2
NO011,CZ064,52
NO011,CZ071,2
NO011,CZ072,1
NO011,CZ080,3
NO011,EE001,27
NO011,EE008,13
NO011,ES111,4
NO011,ES114,1
NO011,ES213,2
NO011,ES300,25
NO011,ES415,1
NO011,ES418,1
NO011,ES511,10
NO011,ES522,1
NO011,ES523,5
NO011,ES532,1
NO011,ES613,1
NO011,ES617,2
NO011,ES618,1
NO011,ES709,1
NO011,GR122,1
NO011,GR252,1
NO011,GR300,3
NO011,GR434,1
NO011,HR041,1
NO011,HU101,24
NO011,HU102,1
NO011,HU213,1
NO011,HU231,3
NO011,HU321,1
NO011,HU331,1
NO011,HU333,2
NO011,LT002,11
NO011,LT003,2
NO011,LT004,1
NO011,LT005,1
NO011,LT006,1
NO011,LT00A,28
NO011,LV006,39
NO011,LV007,1
NO011,LV008,3
NO011,LV009,1
NO011,MT001,2
NO011,PL113,9
NO011,PL127,43
NO011,PL129,1
NO011,PL12A,2
NO011,PL213,18
NO011,PL214,1
NO011,PL215,1
NO011,PL217,2
NO011,PL228,1
NO011,PL229,2
NO011,PL22A,2
NO011,PL314,8
NO011,PL331,1
NO011,PL345,1
NO011,PL415,4
NO011,PL416,3
NO011,PL418,1
NO011,PL424,1
NO011,PL514,7
NO011,PL516,1
NO011,PL517,1
NO011,PL518,2
NO011,PL613,2
NO011,PL622,1
NO011,PL633,21
NO011,PL634,1
NO011,PT114,5
NO011,PT161,1
NO011,PT162,1
NO011,PT16C,1
NO011,PT171,18
NO011,RO111,1
NO011,RO112,2
NO011,RO113,5
NO011,RO116,1
NO011,RO121,1
NO011,RO123,1
NO011,RO125,5
NO011,RO126,3
NO011,RO213,3
NO011,RO215,1
NO011,RO221,1
NO011,RO223,1
NO011,RO313,1
NO011,RO316,2
NO011,RO321,48
NO011,RO322,3
NO011,RO411,1
NO011,RO424,7
NO011,SI014,1
NO011,SI017,1
NO011,SI021,15
NO011,SI022,2
NO011,SI023,2
NO011,SI024,3
NO011,SK010,22
NO011,SK021,2
NO011,SK023,4
NO011,SK031,3
NO011,SK032,5
NO011,SK041,2
NO011,SK042,2
NO012,BG331,1
NO012,BG332,2
NO012,BG411,6
NO012,BG421,2
NO012,CZ010,7
NO012,CZ020,3
NO012,CZ031,3
NO012,CZ032,1
NO012,CZ052,1
NO012,CZ064,16
NO012,CZ071,1
NO012,CZ080,1
NO012,EE001,3
NO012,EE006,1
NO012,EE008,10
NO012,ES111,1
NO012,ES300,11
NO012,ES511,1
NO012,ES514,1
NO012,ES523,1
NO012,ES613,1
NO012,GR122,1
NO012,GR300,2
NO012,HU101,5
NO012,HU212,1
NO012,HU333,2
NO012,LT004,1
NO012,LT00A,4
NO012,LV003,1
NO012,LV006,2
NO012,LV007,2
NO012,LV009,4
NO012,PL113,1
NO012,PL127,5
NO012,PL12A,1
NO012,PL213,2
NO012,PL224,1
NO012,PL229,2
NO012,PL22B,1
NO012,PL315,1
NO012,PL325,1
NO012,PL326,1
NO012,PL415,3
NO012,PL622,1
NO012,PL633,1
NO012,PT114,3
NO012,PT165,1
NO012,PT171,1
NO012,RO113,6
NO012,RO124,2
NO012,RO125,1
NO012,RO126,1
NO012,RO215,1
NO012,RO321,7
NO012,RO424,1
NO012,SI016,1
NO012,SI021,1
NO012,SK010,4
NO012,SK022,1
NO012,SK023,1
NO012,SK031,1
NO012,SK032,1
NO012,SK041,2
NO012,SK042,4
NO021,CZ010,2
NO021,CZ051,2
NO021,CZ064,3
NO021,CZ071,1
NO021,EE001,1
NO021,EE008,5
NO021,ES112,1
NO021,ES130,1
NO021,ES300,4
NO021,ES416,1
NO021,ES612,1
NO021,ES618,1
NO021,ES630,1
NO021,HU211,2
NO021,LV007,2
NO021,LV009,1
NO021,PL217,1
NO021,RO213,1
NO021,RO321,2
NO021,RO423,1
NO021,SI014,1
NO021,SI024,1
NO021,SK010,2
NO021,SK023,1
NO021,SK032,2
NO021,SK041,1
NO022,BG331,1
NO022,BG424,2
NO022,CZ010,4
NO022,CZ032,1
NO022,CZ052,2
NO022,CZ053,6
NO022,CZ064,5
NO022,CZ071,1
NO022,CZ072,2
NO022,CZ080,1
NO022,EE001,2
NO022,EE006,1
NO022,ES300,1
NO022,HU101,1
NO022,HU102,1
NO022,HU333,1
NO022,LT003,1
NO022,LT00A,2
NO022,LV006,6
NO022,LV007,2
NO022,LV009,1
NO022,PL113,3
NO022,PL127,4
NO022,PL217,1
NO022,PL229,2
NO022,PL314,1
NO022,PL343,1
NO022,PL345,1
NO022,PL514,2
NO022,PL633,1
NO022,SI021,2
NO022,SI024,2
NO022,SK032,3
NO022,SK041,1
NO022,SK042,1
NO031,BG331,2
NO031,CZ051,1
NO031,CZ064,5
NO031,EE001,1
NO031,EE008,1
NO031,ES300,2
NO031,ES523,1
NO031,ES618,1
NO031,HU101,1
NO031,HU102,2
NO031,HU323,1
NO031,HU331,1
NO031,LT005,1
NO031,LT00A,1
NO031,LV006,5
NO031,LV008,1
NO031,PL121,1
NO031,PL127,2
NO031,PL213,3
NO031,PL228,1
NO031,PL424,1
NO031,RO111,1
NO031,RO424,3
NO031,SI021,3
NO031,SK010,1
NO031,SK031,1
NO031,SK042,1
NO032,BG311,2
NO032,BG321,2
NO032,BG323,2
NO032,BG411,2
NO032,CZ010,4
NO032,CZ042,1
NO032,CZ064,1
NO032,CZ071,1
NO032,CZ080,1
NO032,EE001,2
NO032,EE004,1
NO032,ES130,1
NO032,ES212,1
NO032,ES300,2
NO032,ES418,1
NO032,ES511,1
NO032,ES523,2
NO032,GR300,1
NO032,HU101,1
NO032,HU221,1
NO032,HU232,1
NO032,LT002,5
