source,target,count
FR42,BG41,5
FR42,CY00,1
FR42,CZ01,2
FR42,HU10,1
FR42,LV00,1
FR42,MT00,1
FR42,PL12,1
FR42,RO32,5
FR42,SK01,2
IS00,BG41,1
IS00,CZ01,1
IS00,EE00,1
IS00,ES30,1
IS00,HU10,2
IS00,PL12,1
IS00,PT20,1
IS00,RO32,3
IS00,SI02,1
IS00,SK01,1
LI00,BG41,1
LI00,CZ01,1
LI00,EE00,1
LI00,ES30,1
LI00,HU10,1
LI00,PL12,1
LI00,RO32,1
LI00,SI02,1
LI00,SK01,1
NO01,BE10,1
NO01,BG41,3
NO01,CY00,1
NO01,CZ01,3
NO01,EE00,7
NO01,ES30,2
NO01,GR30,1
NO01,HU10,5
NO01,LT00,5
NO01,LV00,5
NO01,NO01,1
NO01,PL12,3
NO01,PT17,2
NO01,RO32,7
NO01,SI02,1
NO01,SK01,3
NO03,HU10,1
NO03,LV00,1
NO03,PT17,1
NO03,SK01,1
NO04,LT00,1
NO04,LV00,1
NO04,PL12,1
NO04,RO32,1
NO05,BG41,1
NO05,CZ01,1
NO05,EE00,1
NO05,ES30,1
NO05,HU10,1
NO05,LT00,1
NO05,LV00,1
NO05,PL12,1
NO05,RO32,1
NO05,SI02,1
NO05,SK01,1
NO06,BG41,2
NO06,CZ01,1
NO06,EE00,1
NO06,LT00,4
NO06,LV00,1
NO06,PL12,2
NO06,RO32,3
NO07,BG41,1
NO07,SK01,1
