source,target,count
FR10,RO32,1
FR30,RO32,1
FR42,BG41,11
FR42,CZ01,1
FR42,HR04,1
FR42,LV00,1
FR42,PL12,1
FR42,RO32,8
FR42,SK01,1
IS00,BG41,5
IS00,CY00,1
IS00,CZ01,11
IS00,CZ03,1
IS00,CZ05,2
IS00,CZ06,2
IS00,EE00,4
IS00,ES30,3
IS00,ES42,1
IS00,ES51,1
IS00,GR14,1
IS00,GR30,2
IS00,HR04,1
IS00,HU10,6
IS00,HU22,1
IS00,HU31,1
IS00,HU32,1
IS00,LT00,13
IS00,LV00,7
IS00,PL11,1
IS00,PL12,20
IS00,PL21,16
IS00,PL22,4
IS00,PL32,1
IS00,PL41,4
IS00,PL42,1
IS00,PL51,10
IS00,PL63,6
IS00,PT11,3
IS00,PT17,3
IS00,PT20,3
IS00,RO11,8
IS00,RO12,3
IS00,RO21,4
IS00,RO22,3
IS00,RO31,1
IS00,RO32,17
IS00,SI01,3
IS00,SI02,3
IS00,SK01,5
IS00,SK03,1
LI00,BG32,2
LI00,ES30,1
LI00,HU10,1
LI00,PL51,1
NO01,BG31,3
NO01,BG32,3
NO01,BG33,7
NO01,BG34,3
NO01,BG41,41
NO01,BG42,10
NO01,CY00,3
NO01,CZ01,50
NO01,CZ02,8
NO01,CZ03,4
NO01,CZ04,3
NO01,CZ05,4
NO01,CZ06,19
NO01,CZ07,2
NO01,CZ08,1
NO01,EE00,28
NO01,ES11,1
NO01,ES21,2
NO01,ES30,13
NO01,ES51,1
NO01,ES61,1
NO01,ES70,1
NO01,GR12,2
NO01,GR25,1
NO01,GR30,5
NO01,GR43,1
NO01,HR04,1
NO01,HU10,24
NO01,HU21,2
NO01,HU23,3
NO01,HU32,1
NO01,HU33,3
NO01,LT00,40
NO01,LV00,29
NO01,MT00,2
NO01,PL11,4
NO01,PL12,51
NO01,PL21,15
NO01,PL22,7
NO01,PL31,4
NO01,PL32,2
NO01,PL33,1
NO01,PL34,1
NO01,PL41,10
NO01,PL42,1
NO01,PL51,9
NO01,PL61,2
NO01,PL62,2
NO01,PL63,23
NO01,PT11,8
NO01,PT16,4
NO01,PT17,19
NO01,RO11,13
NO01,RO12,14
NO01,RO21,5
NO01,RO22,2
NO01,RO31,2
NO01,RO32,54
NO01,RO41,1
NO01,RO42,1
NO01,SI01,2
NO01,SI02,16
NO01,SK01,24
NO01,SK02,8
